Date,Time,Sample,Method,Duration,Br,Unit,+/-,Pass/Fail,Hg,Unit,+/-,Pass/Fail,Pb,Unit,+/-
7/20/2026,16:19:00,1,Br in plastic kf,120,7,ppm,0,,26.5,ppm,0.06,,19.5,ppm,0.04
7/20/2026,16:21:16,2,Br in plastic kf,120,6,ppm,0,,24.3,ppm,0.05,,21.8,ppm,0.05
7/20/2026,16:23:31,3,Br in plastic kf,120,7,ppm,0,,26.8,ppm,0.06,,20.8,ppm,0.04
7/20/2026,16:25:47,4,Br in plastic kf,120,5,ppm,0,,29.1,ppm,0.07,,19.2,ppm,0.04
7/20/2026,16:28:03,5,Br in plastic kf,120,6,ppm,0,,27.1,ppm,0.06,,20.1,ppm,0.04
7/20/2026,16:30:19,6,Br in plastic kf,120,7,ppm,0,,24,ppm,0.05,,21.2,ppm,0.05
7/20/2026,16:32:35,7,Br in plastic kf,120,6,ppm,0,,28.3,ppm,0.06,,20.6,ppm,0.04
7/20/2026,16:34:51,8,Br in plastic kf,120,6,ppm,0,,27.2,ppm,0.06,,20.8,ppm,0.04
7/20/2026,16:37:07,9,Br in plastic kf,120,7,ppm,0,,26.1,ppm,0.06,,20.3,ppm,0.04
7/20/2026,16:39:23,10,Br in plastic kf,120,6,ppm,0,,25.9,ppm,0.06,,21,ppm,0.05
7/20/2026,16:41:39,11,Br in plastic kf,120,8,ppm,0,,25.4,ppm,0.06,,21.9,ppm,0.05
7/20/2026,16:43:55,12,Br in plastic kf,120,7,ppm,0,,25.1,ppm,0.06,,24.2,ppm,0.05
7/20/2026,16:46:11,13,Br in plastic kf,120,5,ppm,0,,25.3,ppm,0.06,,19.3,ppm,0.04
7/20/2026,16:48:27,14,Br in plastic kf,120,7,ppm,0,,26.8,ppm,0.06,,25.2,ppm,0.05
7/20/2026,16:50:43,15,Br in plastic kf,120,6,ppm,0,,24.7,ppm,0.06,,21.8,ppm,0.05
7/20/2026,16:52:59,16,Br in plastic kf,120,6,ppm,0,,27.9,ppm,0.06,,22.2,ppm,0.05
7/20/2026,16:55:15,17,Br in plastic kf,120,5,ppm,0,,28.9,ppm,0.06,,18.9,ppm,0.04
7/20/2026,16:57:31,18,Br in plastic kf,120,7,ppm,0,,25.3,ppm,0.06,,18.7,ppm,0.04
7/20/2026,16:59:47,19,Br in plastic kf,120,5,ppm,0,,30.3,ppm,0.07,,20.9,ppm,0.05
7/20/2026,17:02:03,20,Br in plastic kf,120,6,ppm,0,,28.8,ppm,0.06,,21,ppm,0.05
7/20/2026,17:04:56,21,Br in plastic kf,120,7,ppm,0,,25,ppm,0.06,,22.8,ppm,0.05
7/20/2026,17:07:12,22,Br in plastic kf,120,7,ppm,0,,25.3,ppm,0.06,,23.5,ppm,0.05
7/20/2026,17:09:28,23,Br in plastic kf,120,6,ppm,0,,30.1,ppm,0.07,,24.5,ppm,0.05
7/20/2026,17:11:44,24,Br in plastic kf,120,6,ppm,0,,27.5,ppm,0.06,,25.2,ppm,0.05
7/20/2026,17:14:00,25,Br in plastic kf,120,7,ppm,0,,27,ppm,0.06,,17.4,ppm,0.04
7/20/2026,17:16:16,26,Br in plastic kf,120,3,ppm,0,,29.1,ppm,0.07,,19.8,ppm,0.04
7/20/2026,17:18:32,27,Br in plastic kf,120,6,ppm,0,,27.7,ppm,0.06,,24.3,ppm,0.05
7/20/2026,17:20:48,28,Br in plastic kf,120,8,ppm,0,,24.8,ppm,0.06,,24,ppm,0.05
7/20/2026,17:23:04,29,Br in plastic kf,120,7,ppm,0,,25,ppm,0.06,,22,ppm,0.05
7/20/2026,17:25:20,30,Br in plastic kf,120,5,ppm,0,,31.4,ppm,0.07,,23.2,ppm,0.05
AV,0.70,15.50,,120.00,6.23,,0.00,,26.89,,0.06,,21.54,,0.05
SD,0.01,8.80,,0.00,1.04,,0.00,,1.95,,0.00,,2.05,,0.00
RSD,2.00,56.80,,0.00,16.68,,#DIV/0!,,7.25,,7.88,,9.52,,10.83
,,,,,,,,,,,,,,,"Av: average, SD: standard deviation, RSD: relative standard deviation"
