Sample name,Date and time,Tags,Pass/Fail,NiSn (μm),+/-,Ni (wt%),Sn (wt%),
11563-1-30s 30,2026-07-31T12:14:28.090+02:00,[],Pass,5.941666,0.044622,32.818727,67.181273,
11563-1-30s 30,2026-07-31T12:13:52.059+02:00,[],Pass,5.901228,0.043953,32.924432,67.075568,
11563-1-30s 30,2026-07-31T12:13:16.069+02:00,[],Pass,5.914830,0.044222,32.823455,67.176545,
11563-1-30s 30,2026-07-31T12:12:40.049+02:00,[],Pass,5.910674,0.044128,32.861345,67.138655,
11563-1-30s 30,2026-07-31T12:12:04.097+02:00,[],Pass,5.898109,0.043918,32.898214,67.101786,
11563-1-30s 30,2026-07-31T12:11:28.146+02:00,[],Pass,5.895427,0.043830,32.967111,67.032889,
11563-1-30s 30,2026-07-31T12:10:52.117+02:00,[],Pass,5.905361,0.044024,32.885040,67.114960,
11563-1-30s 30,2026-07-31T12:10:15.996+02:00,[],Pass,5.905253,0.044029,32.900099,67.099901,
11563-1-30s 30,2026-07-31T12:09:40.086+02:00,[],Pass,5.918119,0.044264,32.822938,67.177062,
11563-1-30s 30,2026-07-31T12:09:04.011+02:00,[],Pass,5.898567,0.043952,32.880398,67.119602,
