Name,Measured by,Preset,Calibration,Calibration adjustment,DateTime,Duration,Reference,Pass/Fail,GPS Lat.,GPS Long.,Tags,Camera image,Library,Grades,LE,Li,Be,B,C,Mg,+/-,Al,+/-,Si,+/-,P,+/-,S,+/-,Cl,+/-,Ar,+/-,K,+/-,Ca,+/-,Sc,+/-,Ti,+/-,V,+/-,Cr,+/-,Mn,+/-,Fe,+/-,Co,+/-,Ni,+/-,Cu,+/-,Zn,+/-,Ga,+/-,Ge,+/-,As,+/-,Se,+/-,Br,+/-,Kr,+/-,Rb,+/-,Sr,+/-,Y,+/-,Zr,+/-,Nb,+/-,Mo,+/-,Tc,+/-,Ru,+/-,Rh,+/-,Pd,+/-,Ag,+/-,Cd,+/-,In,+/-,Sn,+/-,Sb,+/-,Te,+/-,I,+/-,Xe,+/-,Cs,+/-,Ba,+/-,La,+/-,Ce,+/-,Pr,+/-,Nd,+/-,Pm,+/-,Sm,+/-,Eu,+/-,Gd,+/-,Tb,+/-,Dy,+/-,Ho,+/-,Er,+/-,Tm,+/-,Yb,+/-,Lu,+/-,Hf,+/-,Ta,+/-,W,+/-,Re,+/-,Os,+/-,Ir,+/-,Pt,+/-,Au,+/-,Hg,+/-,Tl,+/-,Pb,+/-,Bi,+/-,Po,+/-,At,+/-,Rn,+/-,Fr,+/-,Ra,+/-,Ac,+/-,Th,+/-,Pa,+/-,U,+/-
67.35,Manager,gold test,Precious FP, ,2026-01-21T14:23:41.209Z,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,,,0.0000,0.0000,0.0388,0.0141,4.8596,0.0354,0.0000,0.0000,0.0000,0.0000,31.2036,0.0591,0.0127,0.0073,,,0.0020,0.0029,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0062,0.0019,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.6498,0.0861,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.1071,0.0000,0.0000,,,0.1797,0.0525,0.0000,0.0000,0.0000,0.0000,0.0476,0.0049,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
67.35,Manager,gold test,Precious FP, ,2026-01-21T14:24:01.473Z,10,,,,,,,Au Karat,6.0 K (0.695 %) ,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,,,0.0000,0.0000,0.0322,0.0141,4.8431,0.0354,0.0000,0.0000,0.0000,0.0000,31.2599,0.0591,0.0448,0.0076,,,0.0008,0.0031,,,,,,,,,,,,,,,,,0.0069,0.0017,0.0059,0.0021,,,0.0032,0.0028,0.0048,0.0068,0.0000,0.0000,63.5417,0.0861,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.1071,0.0000,0.0000,,,0.2076,0.0524,0.0000,0.0000,0.0000,0.0000,0.0489,0.0049,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
67.35,Manager,gold test,Precious FP, ,2026-01-21T14:24:40.796Z,10,,,,,,,Au Karat,6.0 K (0.695 %) ,,,,,,,,,,,,,,,,,,,,,,,,,,0.1832,0.0171,,,0.0000,0.0000,0.0395,0.0147,4.8232,0.0353,0.0000,0.0000,0.0000,0.0000,31.1996,0.0591,0.0000,0.0000,,,0.0000,0.0032,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,0.0058,0.0027,0.0000,0.0000,0.0000,0.0000,63.5504,0.0861,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.1070,0.0000,0.0000,,,0.1376,0.0527,0.0000,0.0000,0.0000,0.0000,0.0607,0.0051,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
67.35,Manager,gold test,Precious FP, ,2026-01-21T14:24:52.143Z,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0611,0.0864,,,0.0000,0.0000,0.0368,0.0033,4.8420,0.0149,0.0000,0.0000,0.0000,0.0000,31.2211,0.0275,0.0192,0.0189,,,0.0009,0.0008,,,,,,,,,,,,,,,,,0.0023,0.0033,0.0041,0.0029,,,0.0030,0.0024,0.0016,0.0023,0.0000,0.0000,63.5807,0.0490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,0.1750,0.0288,0.0000,0.0000,0.0000,0.0000,0.0524,0.0059,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
74.75,Manager,gold test,Precious FP, ,2026-01-21T14:27:35.694Z,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.1810,0.0085,0.0000,0.0000,0.0000,0.0000,24.2571,0.0515,0.0000,0.0000,,,0.0000,0.0033,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,0.0023,0.0028,0.0000,0.0000,0.0000,0.0000,75.4793,0.0942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0928,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0803,0.0053,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
74.75,Manager,gold test,Precious FP, ,2026-01-21T14:27:48.927Z,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,,,0.0199,0.0223,0.0000,0.0000,0.1612,0.0081,0.0000,0.0000,0.0000,0.0000,24.1787,0.0514,0.0000,0.0000,,,0.0000,0.0000,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,0.0032,0.0028,0.0047,0.0073,0.0000,0.0000,75.5533,0.0942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0924,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0761,0.0052,0.0029,0.0028,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
74.75,Manager,gold test,Precious FP, ,2026-01-21T14:28:02.194Z,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,,,0.0072,0.0072,0.0000,0.0000,0.1529,0.0080,0.0000,0.0000,0.0000,0.0000,24.1860,0.0514,0.0000,0.0000,,,0.0000,0.0027,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0035,0.0019,,,0.0055,0.0026,0.0000,0.0000,0.0000,0.0000,75.5728,0.0942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0929,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0722,0.0052,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
74.75,Manager,gold test,Precious FP, ,2026-01-21T14:28:13.442Z,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,,,0.0090,0.0082,0.0000,0.0000,0.1650,0.0118,0.0000,0.0000,0.0000,0.0000,24.2073,0.0354,0.0000,0.0000,,,0.0000,0.0000,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0012,0.0016,,,0.0037,0.0014,0.0016,0.0022,0.0000,0.0000,75.5351,0.0403,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0762,0.0033,0.0010,0.0014,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
79.10,Manager,gold test,Precious FP, ,2026-01-21T14:29:41.834Z,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,,,0.0372,0.0087,0.0000,0.0000,2.1698,0.0258,0.0000,0.0000,0.0000,0.0000,19.7664,0.0477,0.2239,0.0043,,,0.0006,0.0032,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,0.0044,0.0029,0.0000,0.0000,0.0000,0.0000,77.4121,0.0962,0.0335,0.0196,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0867,0.0000,0.0000,,,0.1509,0.0426,0.0000,0.0000,0.0000,0.0000,0.2011,0.0064,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
79.10,Manager,gold test,Precious FP, ,2026-01-21T14:29:56.188Z,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,,,0.0000,0.0223,0.0000,0.0000,2.1130,0.0255,0.0000,0.0000,0.0000,0.0000,19.8550,0.0478,0.2375,0.0044,,,0.0000,0.0035,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,,,0.0015,0.0028,0.0000,0.0000,0.0000,0.0000,77.5009,0.0962,0.0133,0.0196,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0864,0.0000,0.0000,,,0.1257,0.0427,0.0000,0.0000,0.0000,0.0000,0.1531,0.0060,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
