14Jul2026,13:14:43
Sample:1  ,Method:Minerals_oi_pd,,,,,,,,
,Analyte,Concentration,,,,,,,
,MgO,35.73 Wt %,,,,,,,
,Al2O3,2.21 Wt %,,,,,,,
,SiO2,38.51 Wt %,,,,,,,
,P2O5,0.00 Wt %,,,,,,,
,Cl,0.05 Wt %,,,,,,,
,CaO,2.51 Wt %,,,,,,,
,TiO2,0.11 Wt %,,,,,,,
,Cr2O3,0.50 Wt %,,,,,,,
,Mn2O3,0.23 Wt %,,,,,,,
,Fe2O3,12.89 Wt %,,,,,,,
,Ni,0.38 Wt %,,,,,,,
,ZnO,0.01 Wt %,,,,,,,
,PdO,6.89 Wt %,,,,,,,
,,,,,,,,,
14Jul2026,13:18:58
Sample:w film  ,Method:Minerals_oi_pd,,,,,,,,
,Analyte,Concentration,,,,,,,
,MgO,34.87 Wt %,,,,,,,
,Al2O3,2.17 Wt %,,,,,,,
,SiO2,37.77 Wt %,,,,,,,
,P2O5,0.00 Wt %,,,,,,,
,Cl,0.05 Wt %,,,,,,,
,CaO,2.49 Wt %,,,,,,,
,TiO2,0.11 Wt %,,,,,,,
,Cr2O3,0.52 Wt %,,,,,,,
,Mn2O3,0.23 Wt %,,,,,,,
,Fe2O3,13.15 Wt %,,,,,,,
,Ni,0.38 Wt %,,,,,,,
,ZnO,0.01 Wt %,,,,,,,
,PdO,8.25 Wt %,,,,,,,
,,,,,,,,,
14Jul2026,13:24:18
Sample:1  ,Method:Minerals_oi_pd,,,,,,,,
,Analyte,Concentration,,,,,,,
,MgO,0.00 Wt %,,,,,,,
,Al2O3,0.00 Wt %,,,,,,,
,SiO2,0.00 Wt %,,,,,,,
,P2O5,0.00 Wt %,,,,,,,
,Cl,0.00 Wt %,,,,,,,
,CaO,0.00 Wt %,,,,,,,
,TiO2,0.00 Wt %,,,,,,,
,Cr2O3,0.00 Wt %,,,,,,,
,Mn2O3,0.00 Wt %,,,,,,,
,Fe2O3,0.00 Wt %,,,,,,,
,Ni,0.00 Wt %,,,,,,,
,ZnO,0.00 Wt %,,,,,,,
,PdO,0.00 Wt %,,,,,,,
,,,,,,,,,
14Jul2026,13:30:09
Sample:3  ,Method:Minerals_oi_pd,,,,,,,,
,Analyte,Concentration,,,,,,,
,MgO,37.46 Wt %,,,,,,,
,Al2O3,2.53 Wt %,,,,,,,
,SiO2,44.02 Wt %,,,,,,,
,P2O5,0.00 Wt %,,,,,,,
,Cl,0.09 Wt %,,,,,,,
,CaO,2.32 Wt %,,,,,,,
,TiO2,0.12 Wt %,,,,,,,
,Cr2O3,0.47 Wt %,,,,,,,
,Mn2O3,0.22 Wt %,,,,,,,
,Fe2O3,12.29 Wt %,,,,,,,
,NiO,0.48 Wt %,,,,,,,
,ZnO,0.01 Wt %,,,,,,,
,PdO,0.00 Wt %,,,,,,,
,,,,,,,,,
14Jul2026,14:51:40
Sample:4  ,Method:Minerals_oi_pd,,,,,,,,
,Analyte,Concentration,,,,,,,
,MgO,33.60 Wt %,,,,,,,
,Al2O3,2.34 Wt %,,,,,,,
,SiO2,38.35 Wt %,,,,,,,
,P2O5,0.00 Wt %,,,,,,,
,Cl,0.05 Wt %,,,,,,,
,CaO,2.61 Wt %,,,,,,,
,TiO2,0.11 Wt %,,,,,,,
,Cr2O3,0.52 Wt %,,,,,,,
,Mn2O3,0.23 Wt %,,,,,,,
,Fe2O3,13.37 Wt %,,,,,,,
,NiO,0.50 Wt %,,,,,,,
,ZnO,0.01 Wt %,,,,,,,
,PdO,8.31 Wt %,,,,,,,
,,,,,,,,,
14Jul2026,15:02:39
Sample:1  ,Method:Minerals_oi_pd,,,,,,,,
,Analyte,Concentration,,,,,,,
,MgO,37.28 Wt %,,,,,,,
,Al2O3,2.50 Wt %,,,,,,,
,SiO2,44.09 Wt %,,,,,,,
,P2O5,0.00 Wt %,,,,,,,
,Cl,0.09 Wt %,,,,,,,
,CaO,2.38 Wt %,,,,,,,
,TiO2,0.10 Wt %,,,,,,,
,Cr2O3,0.46 Wt %,,,,,,,
,Mn2O3,0.21 Wt %,,,,,,,
,Fe2O3,12.39 Wt %,,,,,,,
,NiO,0.49 Wt %,,,,,,,
,ZnO,0.01 Wt %,,,,,,,
,,,,,,,,,
14Jul2026,15:26:32
Sample:io rep  ,Method:Minerals_oi_pd,,,,,,,,
,Analyte,Mean Conc.,Standard Deviation,,,,,,
,MgO,37.54 Wt %,0.48 Wt %,,,,,,
,      > Measurement 1,37.39 Wt %,,,,,,,
,      > Measurement 2,37.42 Wt %,,,,,,,
,      > Measurement 3,37.36 Wt %,,,,,,,
,      > Measurement 4,37.15 Wt %,,,,,,,
,      > Measurement 5,38.38 Wt %,,,,,,,
,Al2O3,2.52 Wt %,0.16 Wt %,,,,,,
,      > Measurement 1,2.40 Wt %,,,,,,,
,      > Measurement 2,2.42 Wt %,,,,,,,
,      > Measurement 3,2.78 Wt %,,,,,,,
,      > Measurement 4,2.54 Wt %,,,,,,,
,      > Measurement 5,2.47 Wt %,,,,,,,
,SiO2,44.08 Wt %,0.43 Wt %,,,,,,
,      > Measurement 1,44.09 Wt %,,,,,,,
,      > Measurement 2,44.10 Wt %,,,,,,,
,      > Measurement 3,44.22 Wt %,,,,,,,
,      > Measurement 4,44.59 Wt %,,,,,,,
,      > Measurement 5,43.40 Wt %,,,,,,,
,P2O5,0.00 Wt %,,,,,,,
,      > Measurement 1,0.00 Wt %,,,,,,,
,      > Measurement 2,0.00 Wt %,,,,,,,
,      > Measurement 3,0.00 Wt %,,,,,,,
,      > Measurement 4,0.00 Wt %,,,,,,,
,      > Measurement 5,0.00 Wt %,,,,,,,
,Cl,0.09 Wt %,0.01 Wt %,,,,,,
,      > Measurement 1,0.10 Wt %,,,,,,,
,      > Measurement 2,0.09 Wt %,,,,,,,
,      > Measurement 3,0.08 Wt %,,,,,,,
,      > Measurement 4,0.10 Wt %,,,,,,,
,      > Measurement 5,0.09 Wt %,,,,,,,
,CaO,2.33 Wt %,0.07 Wt %,,,,,,
,      > Measurement 1,2.38 Wt %,,,,,,,
,      > Measurement 2,2.42 Wt %,,,,,,,
,      > Measurement 3,2.28 Wt %,,,,,,,
,      > Measurement 4,2.31 Wt %,,,,,,,
,      > Measurement 5,2.26 Wt %,,,,,,,
,TiO2,0.11 Wt %,0.00 Wt %,,,,,,
,      > Measurement 1,0.11 Wt %,,,,,,,
,      > Measurement 2,0.11 Wt %,,,,,,,
,      > Measurement 3,0.11 Wt %,,,,,,,
,      > Measurement 4,0.10 Wt %,,,,,,,
,      > Measurement 5,0.11 Wt %,,,,,,,
,Cr2O3,0.46 Wt %,0.01 Wt %,,,,,,
,      > Measurement 1,0.47 Wt %,,,,,,,
,      > Measurement 2,0.46 Wt %,,,,,,,
,      > Measurement 3,0.46 Wt %,,,,,,,
,      > Measurement 4,0.46 Wt %,,,,,,,
,      > Measurement 5,0.46 Wt %,,,,,,,
,Mn2O3,0.21 Wt %,0.00 Wt %,,,,,,
,      > Measurement 1,0.22 Wt %,,,,,,,
,      > Measurement 2,0.21 Wt %,,,,,,,
,      > Measurement 3,0.20 Wt %,,,,,,,
,      > Measurement 4,0.21 Wt %,,,,,,,
,      > Measurement 5,0.21 Wt %,,,,,,,
,Fe2O3,12.17 Wt %,0.14 Wt %,,,,,,
,      > Measurement 1,12.35 Wt %,,,,,,,
,      > Measurement 2,12.28 Wt %,,,,,,,
,      > Measurement 3,12.02 Wt %,,,,,,,
,      > Measurement 4,12.07 Wt %,,,,,,,
,      > Measurement 5,12.14 Wt %,,,,,,,
,NiO,0.47 Wt %,0.01 Wt %,,,,,,
